timestamp,tool_id,pad_hours,retaining_ring_hours,platen_motor_current,carrier_motor_current,slurry_flow_rate,downforce_pressure,vibration,temperature_c,alarm_count,wafer_removal_rate,process_drift_nm,maintenance_event,maintenance_state,platen_motor_current_rolling_6h,carrier_motor_current_rolling_6h,slurry_flow_rate_rolling_6h,vibration_rolling_6h,temperature_c_rolling_6h,alarm_count_rolling_6h,wafer_removal_rate_rolling_6h,process_drift_nm_rolling_6h,pad_life_pct,retaining_ring_life_pct,platen_current_delta_6h,slurry_flow_delta_6h,vibration_delta_6h,removal_rate_delta_6h,process_drift_delta_6h,feature_platen_current_high,feature_carrier_current_high,feature_slurry_flow_low,feature_vibration_high,feature_pad_hours_high,feature_alarm_burst,feature_removal_rate_low,feature_process_drift_high,sensor_threshold_count,alert_motor_vibration,alert_slurry_flow,alert_pad_wear,alert_pressure_drift,alert_alarm_burst,alert_process_drift,rule_risk_points,rule_risk_level,recommended_action
2026-01-01 00:00:00,CMP-01,0.54,0.0,17.79,11.89,216.66,4.05,0.389,20.84,0,106.85,1.85,0,normal,17.79,11.89,216.66,0.389,20.84,0.0,106.85,1.85,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,normal,Continue normal monitoring
2026-01-01 01:00:00,CMP-01,0.51,0.38,17.78,10.94,215.76,4.259,0.437,22.28,0,105.67,0.67,0,normal,17.785,11.415,216.20999999999998,0.41300000000000003,21.560000000000002,0.0,106.25999999999999,1.26,0.1275,0.12666666666666665,-0.004999999999999005,-0.44999999999998863,0.023999999999999966,-0.5899999999999892,-0.59,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,normal,Continue normal monitoring
2026-01-01 02:00:00,CMP-01,0.4,1.5,17.22,12.07,212.33,4.211,0.296,21.63,0,105.7,0.7,0,normal,17.596666666666668,11.633333333333333,214.91666666666666,0.37399999999999994,21.583333333333332,0.0,106.07333333333334,1.0733333333333335,0.1,0.5,-0.3766666666666687,-2.5866666666666447,-0.07799999999999996,-0.37333333333333485,-0.3733333333333335,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,normal,Continue normal monitoring
2026-01-01 03:00:00,CMP-01,2.18,2.28,16.51,12.39,210.88,4.169,0.378,22.75,0,104.81,0.19,0,normal,17.325,11.8225,213.9075,0.375,21.875,0.0,105.7575,0.8525,0.545,0.7599999999999999,-0.8149999999999977,-3.0275000000000034,0.0030000000000000027,-0.9474999999999909,-0.6625000000000001,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,normal,Continue normal monitoring
2026-01-01 04:00:00,CMP-01,2.22,2.34,17.69,11.91,205.94,4.167,0.341,22.05,0,104.73,0.27,0,normal,17.398000000000003,11.84,212.314,0.36819999999999997,21.91,0.0,105.55199999999999,0.736,0.555,0.7799999999999999,0.29199999999999804,-6.373999999999995,-0.027199999999999946,-0.8219999999999885,-0.46599999999999997,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,normal,Continue normal monitoring
2026-01-01 05:00:00,CMP-01,5.11,4.61,17.45,12.28,212.04,4.34,0.338,21.88,0,107.38,2.38,0,normal,17.406666666666666,11.913333333333334,212.26833333333332,0.3631666666666667,21.905,0.0,105.85666666666667,1.01,1.2775,1.5366666666666666,0.043333333333333,-0.22833333333332462,-0.02516666666666667,1.5233333333333263,1.3699999999999999,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,normal,Continue normal monitoring
2026-01-01 06:00:00,CMP-01,8.41,1.33,18.4,11.44,210.04,4.323,0.405,22.09,0,103.71,1.29,0,normal,17.508333333333336,11.838333333333333,211.16499999999996,0.3658333333333334,22.113333333333333,0.0,105.33333333333333,0.9166666666666666,2.1025,0.44333333333333336,0.8916666666666622,-1.1249999999999716,0.03916666666666663,-1.6233333333333348,0.3733333333333334,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,normal,Continue normal monitoring
2026-01-01 07:00:00,CMP-01,6.11,4.55,16.82,11.13,210.69,4.346,0.389,22.25,0,105.12,0.12,0,normal,17.348333333333333,11.87,210.31999999999996,0.3578333333333334,22.108333333333334,0.0,105.24166666666667,0.8249999999999998,1.5275,1.5166666666666666,-0.5283333333333324,0.37000000000003297,0.03116666666666662,-0.1216666666666697,-0.7049999999999998,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,normal,Continue normal monitoring
2026-01-01 08:00:00,CMP-01,6.88,4.34,19.15,11.62,207.74,4.108,0.298,22.02,0,104.21,0.79,0,normal,17.67,11.795,209.55499999999998,0.3581666666666667,22.173333333333332,0.0,104.99333333333333,0.84,1.72,1.4466666666666665,1.4799999999999969,-1.8149999999999693,-0.0601666666666667,-0.7833333333333314,-0.04999999999999993,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,normal,Continue normal monitoring
2026-01-01 09:00:00,CMP-01,9.88,6.01,18.22,12.69,209.76,4.148,0.334,21.85,0,106.14,1.14,0,normal,17.955000000000002,11.844999999999999,209.3683333333333,0.35083333333333333,22.02333333333333,0.0,105.21499999999999,0.9983333333333334,2.47,2.0033333333333334,0.264999999999997,0.39166666666667993,-0.01683333333333331,0.9250000000000114,0.1416666666666665,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,normal,Continue normal monitoring
2026-01-01 10:00:00,CMP-01,10.64,6.76,17.8,12.62,209.08,4.272,0.36,21.91,0,107.05,2.05,0,normal,17.973333333333333,11.963333333333333,209.89166666666668,0.35400000000000004,22.0,0.0,105.60166666666667,1.295,2.66,2.2533333333333334,-0.173333333333332,-0.8116666666666674,0.00599999999999995,1.4483333333333235,0.7549999999999999,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,normal,Continue normal monitoring
2026-01-01 11:00:00,CMP-01,11.19,6.06,17.43,11.73,211.07,4.103,0.278,22.33,0,104.8,0.2,0,normal,17.97,11.871666666666664,209.73000000000002,0.34400000000000003,22.075000000000003,0.0,105.17166666666667,0.9316666666666665,2.7975,2.02,-0.5399999999999991,1.339999999999975,-0.066,-0.3716666666666697,-0.7316666666666665,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,normal,Continue normal monitoring
2026-01-01 12:00:00,CMP-01,10.33,7.03,17.37,12.72,215.51,4.142,0.391,21.26,0,102.36,2.64,0,normal,17.798333333333332,12.084999999999999,210.64166666666668,0.3416666666666666,21.936666666666667,0.0,104.94666666666666,1.1566666666666665,2.5825,2.3433333333333333,-0.428333333333331,4.868333333333311,0.049333333333333396,-2.586666666666659,1.4833333333333336,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,normal,Continue normal monitoring
2026-01-01 13:00:00,CMP-01,12.95,9.4,17.1,11.81,211.25,4.056,0.345,22.0,0,105.86,0.86,0,normal,17.845000000000002,12.198333333333332,210.735,0.33433333333333337,21.895,0.0,105.07,1.28,3.2375000000000003,3.1333333333333333,-0.745000000000001,0.5149999999999864,0.010666666666666602,0.7900000000000063,-0.42000000000000004,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,normal,Continue normal monitoring
